Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26401017events-2_pair80,26401017events-2.csv,80,10,"[0.7323972602739726, 0.7362328767123287, 0.755, 0.8293835616438356, 0.8332191780821918, 0.861986301369863, 0.8658219178082192, 0.8666438356164383, 0.8682876712328768, 0.8699315068493151]",0.821890410958904,0.7323972602739726,0.8699315068493151,7300.0,IgG,0.522,0.135,0.662
26401017events-3_pair50,26401017events-3.csv,50,3,"[0.950068493150685, 0.9508904109589041, 0.9555479452054795]",0.9521689497716896,0.950068493150685,0.9555479452054796,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair3,26401017events-3.csv,3,9,"[0.9065068493150685, 0.9303424657534246, 0.9382876712328767, 0.9413013698630137, 0.9437671232876712, 0.9445890410958904, 0.9496575342465754, 0.9545890410958904, 0.9571917808219178]",0.9406925418569254,0.9065068493150684,0.9571917808219178,7300.0,IgG,0.628,0.24,0.769
26401017events-3_pair107,26401017events-3.csv,107,2,"[0.944041095890411, 0.9541780821917808]",0.949109589041096,0.944041095890411,0.9541780821917808,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair185,26401017events-3.csv,185,4,"[0.925, 0.9258219178082192, 0.9311643835616439, 0.937054794520548]",0.9297602739726027,0.925,0.937054794520548,7300.0,IgG,0.475,0.475,0.915
26401017events-2_pair75,26401017events-2.csv,75,6,"[0.7592465753424658, 0.7621232876712328, 0.7629452054794521, 0.8256849315068493, 0.8277397260273973, 0.8289726027397261]",0.7944520547945206,0.7592465753424658,0.8289726027397261,7300.0,IgG,0.417,0.417,0.889
26401017events-2_pair137,26401017events-2.csv,137,5,"[0.8251369863013699, 0.8267808219178082, 0.8288356164383561, 0.833904109589041, 0.8347260273972603]",0.8298767123287671,0.8251369863013699,0.8347260273972603,7300.0,IgG,0.44,0.44,0.9
26401017events-3_pair183,26401017events-3.csv,183,8,"[0.9148630136986301, 0.9156849315068493, 0.919931506849315, 0.9211643835616439, 0.9223972602739726, 0.924041095890411, 0.925, 0.9282876712328767]",0.9214212328767124,0.91486301369863,0.9282876712328768,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair46,26401017events-3.csv,46,2,"[0.9492465753424657, 0.9530821917808219]",0.9511643835616438,0.9492465753424656,0.953082191780822,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair76,26401017events-2.csv,76,5,"[0.8265068493150685, 0.8297945205479452, 0.834041095890411, 0.8352739726027397, 0.8365068493150685]",0.8324246575342464,0.8265068493150685,0.8365068493150685,7300.0,IgG,0.44,0.44,0.9
26401017events-3_pair92,26401017events-3.csv,92,2,"[0.9504794520547946, 0.9534931506849315]",0.9519863013698632,0.9504794520547946,0.9534931506849316,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair167,26401017events-3.csv,167,3,"[0.8155479452054795, 0.820068493150685, 0.8243150684931507]",0.8199771689497717,0.8155479452054795,0.8243150684931507,7300.0,IgG,0.533,0.533,0.935
26401017events-4_pair8,26401017events-4.csv,8,5,"[0.9040410958904109, 0.9052739726027397, 0.906095890410959, 0.9069178082191781, 0.917054794520548]",0.9078767123287672,0.9040410958904108,0.917054794520548,7300.0,IgG,0.44,0.44,0.9
26401017events-3_pair135,26401017events-3.csv,135,2,"[0.948013698630137, 0.9530821917808219]",0.9505479452054796,0.948013698630137,0.953082191780822,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-3_pair214,26401017events-3.csv,214,15,"[0.8117123287671233, 0.8133561643835616, 0.8158219178082192, 0.8174657534246575, 0.820068493150685, 0.8208904109589041, 0.8237671232876712, 0.878972602739726, 0.8865068493150685, 0.8906164383561643, 0.927054794520548, 0.9291095890410959, 0.9323972602739726, 0.9333561643835616, 0.9341780821917808]",0.8690182648401826,0.8117123287671233,0.9341780821917808,7300.0,IgG,0.513,0.513,0.929
26401017events-3_pair128,26401017events-3.csv,128,2,"[0.9463698630136986, 0.9502054794520548]",0.9482876712328768,0.9463698630136986,0.9502054794520548,7300.0,apo-Tf,0.65,0.65,0.963
26401017events-2_pair10,26401017events-2.csv,10,13,"[0.755, 0.7582876712328767, 0.7591095890410959, 0.7629452054794521, 0.7670547945205479, 0.7888356164383562, 0.7896575342465754, 0.7917123287671233, 0.7955479452054794, 0.7996575342465754, 0.8197945205479452, 0.8239041095890411, 0.8277397260273973]",0.7876343519494206,0.755,0.8277397260273973,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair170,26401017events-3.csv,170,7,"[0.8285616438356165, 0.8323972602739727, 0.8344520547945206, 0.8365068493150685, 0.8403424657534246, 0.8436301369863014, 0.8444520547945206]",0.8371917808219178,0.8285616438356165,0.8444520547945206,7300.0,IgG,0.417,0.417,0.889
26401017events-3_pair84,26401017events-3.csv,84,3,"[0.948013698630137, 0.9497945205479452, 0.9547260273972603]",0.9508447488584476,0.948013698630137,0.9547260273972604,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair106,26401017events-3.csv,106,9,"[0.9185616438356164, 0.9232191780821918, 0.924041095890411, 0.9269178082191781, 0.9285616438356165, 0.9474657534246576, 0.9495205479452055, 0.9528082191780822, 0.9537671232876712]",0.9360958904109588,0.9185616438356164,0.9537671232876712,7300.0,IgG,0.417,0.029,0.536
26401017events-3_pair109,26401017events-3.csv,109,3,"[0.946917808219178, 0.9519863013698631, 0.9532191780821918]",0.9507077625570776,0.946917808219178,0.9532191780821918,7300.0,apo-Tf,0.533,0.533,0.935
26401017events-3_pair47,26401017events-3.csv,47,2,"[0.9488356164383561, 0.9539041095890411]",0.9513698630136986,0.948835616438356,0.9539041095890411,7300.0,apo-Tf,0.65,0.65,0.963
