Event,Num_Peaks,Peak_Positions,IgG_Similarity,apo-Tf_Similarity,Predicted_Class,Best_Score,Confidence,Certainty_Prob
26331012-1Events_pair272,2,"[0.9508904109589041, 0.9643150684931507]",0.65,0.65,IgG,0.65,0.0,0.5
26331012-1Events_pair273,2,"[0.9525342465753425, 0.9576027397260274]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair276,2,"[0.9563698630136986, 0.9571917808219178]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair280,6,"[0.9221232876712329, 0.9233561643835616, 0.925, 0.9274657534246575, 0.9508904109589041, 0.9517123287671233]",0.417,0.417,IgG,0.417,0.0,0.5
26331012-1Events_pair281,4,"[0.9362328767123288, 0.9404794520547946, 0.9517123287671233, 0.9567808219178082]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair282,11,"[0.8514383561643836, 0.8522602739726027, 0.9278767123287671, 0.9341780821917808, 0.9358219178082192, 0.9425342465753425, 0.9437671232876712, 0.9458219178082192, 0.9508904109589041, 0.9517123287671233, 0.9613013698630137]",0.51,0.387,IgG,0.51,0.123,0.649
26331012-1Events_pair283,3,"[0.9413013698630137, 0.9525342465753425, 0.9543150684931507]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair284,2,"[0.9537671232876712, 0.9663698630136986]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair286,6,"[0.9258219178082192, 0.930068493150685, 0.9321232876712329, 0.9378767123287671, 0.9525342465753425, 0.9559589041095891]",0.417,0.0,IgG,0.417,0.417,0.889
26331012-1Events_pair287,6,"[0.942945205479452, 0.9437671232876712, 0.9445890410958904, 0.9463698630136986, 0.948013698630137, 0.9567808219178082]",0.0,0.417,apo-Tf,0.417,0.417,0.889
26331012-1Events_pair290,2,"[0.9600684931506849, 0.9621232876712329]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair291,3,"[0.9537671232876712, 0.9588356164383561, 0.9647260273972603]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair294,2,"[0.8706164383561644, 0.8718493150684932]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair297,2,"[0.9543150684931507, 0.9592465753424657]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair299,2,"[0.9559589041095891, 0.9567808219178082]",0.0,0.0,Uncertain,0.0,0.0,0.0
26331012-1Events_pair300,2,"[0.9588356164383561, 0.963904109589041]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair301,4,"[0.9467808219178082, 0.9517123287671233, 0.9537671232876712, 0.9551369863013699]",0.0,0.475,apo-Tf,0.475,0.475,0.915
26331012-1Events_pair303,5,"[0.9496575342465754, 0.9513013698630137, 0.9521232876712329, 0.9533561643835616, 0.9596575342465753]",0.44,0.44,IgG,0.44,0.0,0.5
26331012-1Events_pair305,2,"[0.9492465753424657, 0.952945205479452]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair306,2,"[0.9504794520547946, 0.9521232876712329]",0.0,0.65,apo-Tf,0.65,0.65,0.963
26331012-1Events_pair307,3,"[0.9567808219178082, 0.9576027397260274, 0.9592465753424657]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair308,3,"[0.9433561643835616, 0.945, 0.9608904109589042]",0.533,0.533,IgG,0.533,0.0,0.5
26331012-1Events_pair311,2,"[0.9588356164383561, 0.9643150684931507]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair314,3,"[0.958013698630137, 0.9663698630136986, 0.9684246575342466]",0.533,0.0,IgG,0.533,0.533,0.935
26331012-1Events_pair315,2,"[0.9559589041095891, 0.9608904109589042]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair319,2,"[0.9604794520547946, 0.9671917808219178]",0.65,0.0,IgG,0.65,0.65,0.963
26331012-1Events_pair321,6,"[0.9441780821917808, 0.9467808219178082, 0.9484246575342465, 0.9492465753424657, 0.9563698630136986, 0.9647260273972603]",0.417,0.417,IgG,0.417,0.0,0.5
