Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak,I0_used
26516015Events_pair56,26516015Events.csv,56,1,[0.502],0.502,0.502,0.502,2250.0
26516015Events_pair57,26516015Events.csv,57,2,"[0.41488888888888886, 0.67]",0.5424444444444445,0.41488888888888886,0.67,2250.0
26516015Events_pair58,26516015Events.csv,58,1,[0.974],0.974,0.974,0.974,2250.0
26516015Events_pair59,26516015Events.csv,59,1,[0.5668888888888889],0.5668888888888889,0.5668888888888889,0.5668888888888889,2250.0
26516015Events_pair60,26516015Events.csv,60,2,"[0.40155555555555555, 0.974]",0.6877777777777778,0.40155555555555555,0.974,2250.0
26516022Events_pair1,26516022Events.csv,1,1,[0.6917777777777778],0.6917777777777778,0.6917777777777778,0.6917777777777778,2250.0
26516022Events_pair2,26516022Events.csv,2,1,[0.586],0.586,0.586,0.586,2250.0
26516022Events_pair3,26516022Events.csv,3,1,[0.5886666666666667],0.5886666666666667,0.5886666666666667,0.5886666666666667,2250.0
26516022Events_pair4,26516022Events.csv,4,1,[0.5562222222222222],0.5562222222222222,0.5562222222222222,0.5562222222222222,2250.0
26516022Events_pair5,26516022Events.csv,5,1,[0.5913333333333334],0.5913333333333334,0.5913333333333334,0.5913333333333334,2250.0
26516022Events_pair6,26516022Events.csv,6,1,[0.6864444444444444],0.6864444444444444,0.6864444444444444,0.6864444444444444,2250.0
26516022Events_pair7,26516022Events.csv,7,0,[],,,,2250.0
26516022Events_pair8,26516022Events.csv,8,1,[0.9713333333333334],0.9713333333333334,0.9713333333333334,0.9713333333333334,2250.0
26516022Events_pair9,26516022Events.csv,9,1,[0.6806666666666666],0.6806666666666666,0.6806666666666666,0.6806666666666666,2250.0
26516022Events_pair10,26516022Events.csv,10,2,"[0.7704444444444445, 0.9766666666666667]",0.8735555555555556,0.7704444444444445,0.9766666666666667,2250.0
26516022Events_pair11,26516022Events.csv,11,1,[0.6593333333333333],0.6593333333333333,0.6593333333333333,0.6593333333333333,2250.0
26516022Events_pair12,26516022Events.csv,12,1,[0.9766666666666667],0.9766666666666667,0.9766666666666667,0.9766666666666667,2250.0
26516022Events_pair13,26516022Events.csv,13,1,[0.5508888888888889],0.5508888888888889,0.5508888888888889,0.5508888888888889,2250.0
26516022Events_pair14,26516022Events.csv,14,2,"[0.4504444444444444, 0.9602222222222222]",0.7053333333333334,0.4504444444444444,0.9602222222222222,2250.0
26516022Events_pair15,26516022Events.csv,15,1,[0.9766666666666667],0.9766666666666667,0.9766666666666667,0.9766666666666667,2250.0
26516022Events_pair16,26516022Events.csv,16,1,[0.7895555555555556],0.7895555555555556,0.7895555555555556,0.7895555555555556,2250.0
26516022Events_pair17,26516022Events.csv,17,1,[0.7868888888888889],0.7868888888888889,0.7868888888888889,0.7868888888888889,2250.0
26516022Events_pair18,26516022Events.csv,18,1,[0.8166666666666667],0.8166666666666667,0.8166666666666667,0.8166666666666667,2250.0
26516022Events_pair19,26516022Events.csv,19,1,[0.7784444444444445],0.7784444444444445,0.7784444444444445,0.7784444444444445,2250.0
26516022Events_pair20,26516022Events.csv,20,1,[0.6375555555555555],0.6375555555555555,0.6375555555555555,0.6375555555555555,2250.0
26516022Events_pair21,26516022Events.csv,21,1,[0.578],0.578,0.578,0.578,2250.0
26516022Events_pair22,26516022Events.csv,22,3,"[0.5615555555555556, 0.5668888888888889, 0.67]",0.5994814814814814,0.5615555555555556,0.67,2250.0
26516022Events_pair23,26516022Events.csv,23,1,[0.6077777777777778],0.6077777777777778,0.6077777777777778,0.6077777777777778,2250.0
26516022Events_pair24,26516022Events.csv,24,1,[0.6157777777777778],0.6157777777777778,0.6157777777777778,0.6157777777777778,2250.0
26516022Events_pair25,26516022Events.csv,25,1,[0.6104444444444445],0.6104444444444445,0.6104444444444445,0.6104444444444445,2250.0
26516022Events_pair26,26516022Events.csv,26,1,[0.6375555555555555],0.6375555555555555,0.6375555555555555,0.6375555555555555,2250.0
26516022Events_pair27,26516022Events.csv,27,1,[0.5451111111111111],0.5451111111111111,0.5451111111111111,0.5451111111111111,2250.0
26516022Events_pair28,26516022Events.csv,28,3,"[0.6535555555555556, 0.7215555555555555, 0.7295555555555555]",0.7015555555555556,0.6535555555555556,0.7295555555555555,2250.0
26516022Events_pair29,26516022Events.csv,29,0,[],,,,2250.0
26516012Events_pair1,26516012Events.csv,1,2,"[0.46111111111111114, 0.46644444444444444]",0.4637777777777778,0.46111111111111114,0.46644444444444444,2250.0
26516012Events_pair2,26516012Events.csv,2,4,"[0.4122222222222222, 0.51, 0.5993333333333334, 0.6077777777777778]",0.5323333333333333,0.4122222222222222,0.6077777777777778,2250.0
26516012Events_pair3,26516012Events.csv,3,1,[0.4882222222222222],0.4882222222222222,0.4882222222222222,0.4882222222222222,2250.0
26516012Events_pair4,26516012Events.csv,4,2,"[0.46111111111111114, 0.6806666666666666]",0.5708888888888889,0.46111111111111114,0.6806666666666666,2250.0
26516012Events_pair5,26516012Events.csv,5,1,[0.4504444444444444],0.4504444444444444,0.4504444444444444,0.4504444444444444,2250.0
26516012Events_pair6,26516012Events.csv,6,3,"[0.434, 0.5073333333333333, 0.5615555555555556]",0.5009629629629629,0.434,0.5615555555555556,2250.0
26516012Events_pair7,26516012Events.csv,7,0,[],,,,2250.0
26516012Events_pair8,26516012Events.csv,8,3,"[0.43133333333333335, 0.502, 0.518]",0.4837777777777778,0.43133333333333335,0.518,2250.0
26516012Events_pair9,26516012Events.csv,9,2,"[0.4042222222222222, 0.5833333333333334]",0.49377777777777776,0.4042222222222222,0.5833333333333334,2250.0
26516012Events_pair10,26516012Events.csv,10,0,[],,,,2250.0
26516012Events_pair11,26516012Events.csv,11,0,[],,,,2250.0
26516012Events_pair12,26516012Events.csv,12,5,"[0.434, 0.7566666666666667, 0.7624444444444445, 0.7731111111111111, 0.7784444444444445]",0.7009333333333334,0.434,0.7784444444444445,2250.0
26516012Events_pair13,26516012Events.csv,13,0,[],,,,2250.0
26516012Events_pair14,26516012Events.csv,14,3,"[0.4855555555555556, 0.586, 0.7242222222222222]",0.5985925925925927,0.4855555555555556,0.7242222222222222,2250.0
26516012Events_pair15,26516012Events.csv,15,1,[0.5695555555555556],0.5695555555555556,0.5695555555555556,0.5695555555555556,2250.0
26516012Events_pair16,26516012Events.csv,16,1,[0.6997777777777778],0.6997777777777778,0.6997777777777778,0.6997777777777778,2250.0
26516021Events_pair1,26516021Events.csv,1,1,[0.814],0.814,0.814,0.814,2250.0
26516021Events_pair2,26516021Events.csv,2,1,[0.49933333333333335],0.49933333333333335,0.49933333333333335,0.49933333333333335,2250.0
26516021Events_pair3,26516021Events.csv,3,0,[],,,,2250.0
26516021Events_pair4,26516021Events.csv,4,1,[1.0526666666666666],1.0526666666666666,1.0526666666666666,1.0526666666666666,2250.0
26516021Events_pair5,26516021Events.csv,5,3,"[0.47755555555555557, 0.4855555555555556, 0.4935555555555556]",0.4855555555555556,0.47755555555555557,0.4935555555555556,2250.0
26516023Events_pair1,26516023Events.csv,1,3,"[0.5615555555555556, 0.6402222222222222, 0.6508888888888889]",0.6175555555555555,0.5615555555555556,0.6508888888888889,2250.0
26516023Events_pair2,26516023Events.csv,2,1,[0.9602222222222222],0.9602222222222222,0.9602222222222222,0.9602222222222222,2250.0
26516023Events_pair3,26516023Events.csv,3,1,[0.6806666666666666],0.6806666666666666,0.6806666666666666,0.6806666666666666,2250.0
26516023Events_pair4,26516023Events.csv,4,2,"[0.6295555555555555, 0.6482222222222223]",0.6388888888888888,0.6295555555555555,0.6482222222222223,2250.0
26516023Events_pair5,26516023Events.csv,5,1,[0.9793333333333333],0.9793333333333333,0.9793333333333333,0.9793333333333333,2250.0
26513024Events_pair1,26513024Events.csv,1,4,"[0.71, 0.7153333333333334, 0.8024444444444444, 0.9406666666666667]",0.7921111111111111,0.71,0.9406666666666667,2250.0
26513024Events_pair2,26513024Events.csv,2,0,[],,,,2250.0
26513024Events_pair3,26513024Events.csv,3,1,[0.8726666666666667],0.8726666666666667,0.8726666666666667,0.8726666666666667,2250.0
26513024Events_pair4,26513024Events.csv,4,1,[0.9406666666666667],0.9406666666666667,0.9406666666666667,0.9406666666666667,2250.0
26513024Events_pair5,26513024Events.csv,5,1,[1.0788888888888888],1.0788888888888888,1.0788888888888888,1.0788888888888888,2250.0
26513024Events_pair6,26513024Events.csv,6,1,[1.0788888888888888],1.0788888888888888,1.0788888888888888,1.0788888888888888,2250.0
26513024Events_pair7,26513024Events.csv,7,1,[1.1006666666666667],1.1006666666666667,1.1006666666666667,1.1006666666666667,2250.0
26513024Events_pair8,26513024Events.csv,8,1,[1.0682222222222222],1.0682222222222222,1.0682222222222222,1.0682222222222222,2250.0
26513024Events_pair9,26513024Events.csv,9,1,[1.0953333333333333],1.0953333333333333,1.0953333333333333,1.0953333333333333,2250.0
26513024Events_pair10,26513024Events.csv,10,1,[1.09],1.09,1.09,1.09,2250.0
26513024Events_pair11,26513024Events.csv,11,1,[1.0788888888888888],1.0788888888888888,1.0788888888888888,1.0788888888888888,2250.0
26513024Events_pair12,26513024Events.csv,12,1,[1.0517777777777777],1.0517777777777777,1.0517777777777777,1.0517777777777777,2250.0
26513024Events_pair13,26513024Events.csv,13,1,[0.9624444444444444],0.9624444444444444,0.9624444444444444,0.9624444444444444,2250.0
26513024Events_pair14,26513024Events.csv,14,1,[0.9624444444444444],0.9624444444444444,0.9624444444444444,0.9624444444444444,2250.0
26513024Events_pair15,26513024Events.csv,15,2,"[0.9597777777777777, 0.9704444444444444]",0.965111111111111,0.9597777777777777,0.9704444444444444,2250.0
26513024Events_pair16,26513024Events.csv,16,1,[0.9757777777777777],0.9757777777777777,0.9757777777777777,0.9757777777777777,2250.0
26513024Events_pair17,26513024Events.csv,17,1,[0.9571111111111111],0.9571111111111111,0.9571111111111111,0.9571111111111111,2250.0
26513024Events_pair18,26513024Events.csv,18,2,"[0.938, 0.9677777777777777]",0.9528888888888889,0.938,0.9677777777777777,2250.0
26513024Events_pair19,26513024Events.csv,19,2,"[0.9353333333333333, 0.946]",0.9406666666666667,0.9353333333333333,0.946,2250.0
