Event,File,Pair,Num_Peaks,Peak_Positions,Mean_Peak,Min_Peak,Max_Peak
26516014Events-2_pair25,26516014Events-2.csv,25,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair26,26516014Events-2.csv,26,2,"[0.9418367346938775, 0.9614285714285714]",0.951632653,0.941836735,0.961428571
26516014Events-2_pair27,26516014Events-2.csv,27,2,"[0.9393877551020409, 0.9589795918367346]",0.949183673,0.939387755,0.958979592
26516014Events-2_pair28,26516014Events-2.csv,28,1,[0.9491836734693877],0.949183673,0.949183673,0.949183673
26516014Events-2_pair29,26516014Events-2.csv,29,2,"[0.9393877551020409, 0.9589795918367346]",0.949183673,0.939387755,0.958979592
26516014Events-2_pair30,26516014Events-2.csv,30,2,"[0.9393877551020409, 0.9589795918367346]",0.949183673,0.939387755,0.958979592
26516014Events-2_pair31,26516014Events-2.csv,31,1,[0.9291836734693878],0.929183673,0.929183673,0.929183673
26516014Events-2_pair32,26516014Events-2.csv,32,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair33,26516014Events-2.csv,33,1,[0.9291836734693878],0.929183673,0.929183673,0.929183673
26516014Events-2_pair34,26516014Events-2.csv,34,1,[0.43612244897959185],0.436122449,0.436122449,0.436122449
26516014Events-2_pair35,26516014Events-2.csv,35,5,"[0.3536734693877551, 0.5455102040816326, 0.5953061224489796, 0.6055102040816327, 0.9418367346938775]",0.608367347,0.353673469,0.941836735
26516014Events-2_pair36,26516014Events-2.csv,36,1,[0.36387755102040814],0.363877551,0.363877551,0.363877551
26516014Events-2_pair37,26516014Events-2.csv,37,1,[0.9340816326530612],0.934081633,0.934081633,0.934081633
26516014Events-2_pair38,26516014Events-2.csv,38,1,[0.48346938775510206],0.483469388,0.483469388,0.483469388
26516014Events-2_pair39,26516014Events-2.csv,39,1,[0.936530612244898],0.936530612,0.936530612,0.936530612
26516014Events-2_pair40,26516014Events-2.csv,40,1,[0.9614285714285714],0.961428571,0.961428571,0.961428571
26516014Events-2_pair41,26516014Events-2.csv,41,2,"[0.9393877551020409, 0.9589795918367346]",0.949183673,0.939387755,0.958979592
26516014Events-2_pair42,26516014Events-2.csv,42,1,[0.9218367346938775],0.921836735,0.921836735,0.921836735
26516014Events-2_pair43,26516014Events-2.csv,43,2,"[0.9442857142857143, 0.9642857142857143]",0.954285714,0.944285714,0.964285714
26516014Events-2_pair44,26516014Events-2.csv,44,1,[0.946734693877551],0.946734694,0.946734694,0.946734694
26516014Events-2_pair45,26516014Events-2.csv,45,1,[0.9418367346938775],0.941836735,0.941836735,0.941836735
26516014Events-2_pair46,26516014Events-2.csv,46,1,[0.926734693877551],0.926734694,0.926734694,0.926734694
26516014Events-2_pair47,26516014Events-2.csv,47,1,[0.4957142857142857],0.495714286,0.495714286,0.495714286
26516014Events-2_pair48,26516014Events-2.csv,48,1,[0.9540816326530612],0.954081633,0.954081633,0.954081633
26516014Events-2_pair49,26516014Events-2.csv,49,1,[0.9242857142857143],0.924285714,0.924285714,0.924285714
26516014Events-2_pair50,26516014Events-2.csv,50,1,[0.9291836734693878],0.929183673,0.929183673,0.929183673
26516014Events-2_pair51,26516014Events-2.csv,51,1,[0.9516326530612245],0.951632653,0.951632653,0.951632653
26516014Events-2_pair52,26516014Events-2.csv,52,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair53,26516014Events-2.csv,53,2,"[0.3712244897959184, 0.4336734693877551]",0.40244898,0.37122449,0.433673469
26516014Events-2_pair54,26516014Events-2.csv,54,1,[0.9316326530612244],0.931632653,0.931632653,0.931632653
26516014Events-2_pair55,26516014Events-2.csv,55,1,[0.9442857142857143],0.944285714,0.944285714,0.944285714
26516014Events-2_pair56,26516014Events-2.csv,56,1,[0.4010204081632653],0.401020408,0.401020408,0.401020408
